QT	Question
Susceptibility	What is the current understanding of the risk for developing multiple myeloma among first degree relatives of an affected person?
Diagnosis	What is the difference between a epithelioid sarcoma and a lipoma?
Diagnosis	What is the difference between a epithelioid sarcoma and a liposarcoma?
Diagnosis	What is the difference between cryoglobulinemia and cold agglutinin disease?
Diagnosis	How can my condition be diagnosed?
Diagnosis	What is the difference between Roberts syndrome and tetra-amelia syndrome?
Information	Are they the same thing?
Diagnosis	What is the difference between uterine adenosarcoma and uterine adenocarcinoma?
Prognosis	What is the expected life span of a person with this chromosome deletion?
Information	Where can I find information about clinical trials?
Susceptibility	What is the incidence of amniotic band syndrome?
Susceptibility	Is it considered a rare disease?
Susceptibility	What is the incidence of congenital fiber type disproportion?
Susceptibility	How many cases have been reported in India?
Susceptibility	What is the incidence of Melkersson-Rosenthal syndrome?
Other	How often does PLEVA turn into something more serious?
Susceptibility	What is the incidence of pityriasis lichenoides et varioliformis acuta (PLEVA) in the United States?
Prognosis	What is the life expectancy for 22q13.3 deletion syndrome?
OtherEffect	What are the most common defects?
Prognosis	What is the life expectancy for a baby with semi-lobar holoprosencephaly?
Manifestation	Other main characteristics?
Prognosis	What is the life expectancy for a child with Dravet syndrome?
Prognosis	What is the life expectancy for FG syndrome?
Prognosis	What is the life expectancy for individuals with optic atrophy 1?
Prognosis	What is the life-expectancy for individuals with protein S deficiency?
Prognosis	What is the life expectancy for infants diagnosed with Waldmann disease?
Prognosis	What is the life expectancy for someone with purine nucleoside phosphorylase deficiency?
Prognosis	What is the life expectancy for someone with Wolf-Hirschhorn syndrome?
Diagnosis	Does that mean she has the condition?
PersonOrg	Who are the best doctors in the United States for this condition?
Prognosis	What is the life expectancy of a child with VLCAD deficiency?
Prognosis	What is the life expectancy of an adult with Sturge-Weber syndrome?
Prognosis	What is the life expectancy of an individual with Costello syndrome?
Prognosis	What is the life expectancy of individuals with Cornelia de Lange syndrome?
Information	What research is being done at present regarding CDPX1?
Susceptibility	What are the odds of getting CDPX1?
Prognosis	What is the life expectancy of someone born with chondrodysplasia punctata 1, X-linked recessive (CDPX1)?
Prognosis	What is the life expectancy of someone with POEMS syndrome?
Prognosis	What is the long-term prognosis of tracheobronchomalacia?
Diagnosis	What is the name of the blood test used to diagnose Lynch syndrome?
Diagnosis	Most importantly, how accurate is this test for both positive results?
Diagnosis	Most importantly, how accurate is this test for negative results?
Diagnosis	Is there more than one test?
Diagnosis	What is the name of the test that would be used to diagnose this condition?
Prognosis	What is the oldest a person with this condition is known to live for?
